Category,Architect,Building,Place,Era,Image0,Image1,Image2,Image3,Dummy
Industrial Revolution ,King’s Cross Station,Lewis Cubitt,London,1851-52,kingscross.jpg,kingscross2.jpg,,,
Industrial Revolution ,Joseph Paxton,Crystal Palace,Hyde Park London,1851,crystal.jpg,crystal2.jpg,crystal3.jpg,,
Industrial Revolution ,Adolphe Alphand,Sewers of Paris (Les Travaux de Paris),Paris,1789-1889,alphand.jpg,,,,
Industrial Revolution ,Louis Louis-August and Gustave Eiffel,Bon Marche,Paris,1854,bonmarche.jpg,bonmarche2.jpg,bonmarche3.jpg,,
Industrial Revolution ,Victor Balthard,Les Halles,Paris,1845,Balthard.jpg,balthard2.jpg,balthard3.jpg,,
Industrial Revolution ,Charles Garnier,New Opera,Paris,1863-75,Garnier.jpg,Garnier2.jpg,garnier3.jpg,,
Industrial Revolution ,Henri Labrouste,Bibliotheque Sainte-Genevieve,Paris,1838-50, bibliothequesaintegenevieve.jpg, bibliothequesaintegenevieve2.jpg, bibliothequesaintegenevieve3.jpg,,
Industrial Revolution ,Henri Labrouste,Bibliothèque nationale,Paris,1854-75,bibliothequenationale.jpg,bibliothequenationale2.jpg,bibliothequenationale3.jpg,,
Reactions Against Industrialization,Gottfried Semper,Plates from The Four Elements of Architecture,,1851,semper.jpg,semper2.jpg,,,
Reactions Against Industrialization,Philip Webb,Red House,Bexleyheath,1859-60,redhouse.jpg,redhouse2.jpg,,,
Reactions Against Industrialization,Charles Rennie Mackintosh,Glasgow School of Art,Glasgow,1897-1909,glasgow.jpg,glasgow2.jpg,,,
Vienna Secession / Ringstrasse,Otto Wagner,Postal Savings Bank, Vienna,1904-06; 1910-12,PostalWag.jpg,PostalWag2.jpg,PostalWag3.jpg,,
Vienna Secession / Ringstrasse,Joseph Maria Olbrich,Secession Building, Vienna,1898-99,Secession.jpg,Secession2.jpg,,,
Vienna Secession / Ringstrasse,Josef Hoffmann,Palais Stoclet, Brussels,1905-11,Stoclet.jpg,Stoclet2.jpg,stoclet3.jpg,,
Countering Ornamentation,Adolf Loos,Cafe Museum,Vienna,1899,CafeMuseum.jpg,,,,
Countering Ornamentation,Adolf Loos,Haus on Michaelplatz, Vienna,1910,Loos.jpg,,,,
Arts & Crafts / Art Nouveau,Henry van de Velde,Folkwang Museum, Hagen,1900-1902,folkwang.jpg,folkwang2.jpg,folkwang3.jpg,,
Arts & Crafts / Art Nouveau,Victor Horta,Tassel Residence, Brussels,1892-93,Tassel.jpg,tassel2.jpg,tassel3.jpg,,
Arts & Crafts / Art Nouveau,Victor Horta,Maison du Peuple (House of the People), Brussels,1895-1900,Peuple.jpg,Peuple2.jpg,,,
Arts & Crafts / Art Nouveau,Hector Guimard,Paris Subway,Paris,1899-1904,guimard.jpg,,,,
Arts & Crafts / Art Nouveau,Antonio Gaudi,Casa Mila, Spain,1905-07,mila.jpg,,,,
First Gen Chicago School,William Le Baron Jenney,Fair Store, Chicago,1890-91,FairStore.jpg,FairStore2.jpg,,,
First Gen Chicago School,Henry Hobson Richardson,Marshall Field Wholesale Store, Chicago,1885-87,MarshalField.jpg,,,,
First Gen Chicago School,Louis Sullivan and Dankmar Adler,Guaranty Building, Buffalo,1894,Guaranty.jpg,guaranty2.jpg,,,
First Gen Chicago School,Louis Sullivan and Dankmar Adler,Wainwright Building, St. Louis,1890,wainwright.jpg,wainwright2.jpg,,,
First Gen Chicago School,Louis Sullivan and Dankmar Adler,Carson Pirie Scott Department Store, Chicago,1899-1904,Carson.jpg,carson2.jpg,,,
First Gen Chicago School,Daniel H. Burnham and John Welborn Root,Monadnock Building, Chicago,1890-1891, Monadnock.jpg,,,,
First Gen Chicago School,Daniel H. Burnham,White City - World's Columbian Exposition, Chicago,1893,Burnham_expo.jpg,,,,
